&c.	etc.
well-took	well-taken
welliday	welladay
went'st	wentest
wepping	weapon
wer	were
werena	weren't
wern't	weren't
wexed	waxed
wezand	weazand
wha	who
wha's	who's
whale-Bones	whale-bones
whale-Fishery	whale-fishery
whale-Watch	whale-watch
whale-e	whale
whalin'	whaling
whar	where
wharfs	wharves
whase	whose
what!	what
what-ye-call't	what-you-call-it
whate'er	whatever
whativer	whatever
whatsoe'er	whatsoever
whatsome'er	whatsoever
whatten	what
whe'er	whether
whear	where
whenColonel	whencolonel
whencesoe'er	whencesoever
whene'er	whenever
where'er	wherever
where-with	wherewith
wheres	where
wheresoe'er	wheresoever
wheresome'er	wheresoever
whet'st	whettest
whetteth	whets
whiles	while
whilome	whilom
whilst	while
whip'd	whipped
whipp'st	whippest
whippin'	whipping
whirl'd	whirled
whirlpooles	whirlpools
white-Foot	white-foot
white-Hart	white-hart
who-e	who
who-ee	who
whoe'er	whoever
whoiver	whoever
whome	whom
whoo	who
whoo-bub	who-bub
whosoe'er	whosoever
whosomever	whosoever
whups	whips
wi	with
wi'	with
wi'bein'	wi'being
wi'out	without
wi't	with't
wice	vice
wicked'st	wickedest
wid	with
widg	with
widout	without
wife-like	wifelike
wihtout	without
wild-cat	wildcat
wild-fowl	wildfowl
wild-goose	wildgoose
willains	villains
willeth	wills
willin	willing
willin'	willing
willing'st	willingest'
willut	will
winder	window
winders	windows
windring	windering
wink'st	winkest
winna	won't
winter-time	wintertime
wintry	wintery
wiolinceller	violoncello
wiolincellers	violoncellos
wish'd	wished
wish't	wished
wisheth	wishes
wisht	wished
wisitin	visiting
wisiting	visiting
wisitors	visitors
wist	wisted
withereth	withers
witnesseth	witnesses
wo	woe
wo't	wilt
wod	would
woefull'st	woefullest
woful	woeful
wofully	woefully
womenkind	womankind
wonderfull	wonderful
wonn	won
wonna	won't
wonst	once
woo't	wilt
wood-birds	woodbirds
woodbind	woodbine
woodhouse-ing	woodhousing
wool-sack	woolsack
wooman	woman
woonder	wonder
work'st	workest
worketh	works
worki'day	workaday
workin'	working
worky-day	workday
worm-eaten	wormeaten
worn't	weren't
worreted	worrited
worritin'	worriting
worser	worse
worts	words
wos	was
wot'st	wottedest
wotna	won't
wou'd	would
would'nt	wouldn't
would'st	wouldst
wouldest	wouldst
wouldna	wouldn't
wound'st	woundest
wounldn't	wouldn't
wrapt	wrapped
wretched'st	wretchedest
writin	writing
writin'	writing
wrong'd	wronged
wrong'st	wrongest
wull	will
wunna	won't
wunst	once
wur	were
wus	worse
wuss	worse
wuth	worth
wutna	won't
y'	you
y'ull	you'll
y-ravished	ravished
ya'as'dy	yesterday
yah	you
yah'll	you'll
yah're	you're
yallow	yellow
yankee-Land	yankee-land
yclad	clad
ycleped	cleped
ye'd	you'd
ye'll	you'll
ye'n	you've
ye'r	you're
ye're	you're
ye've	you've
ye-es	yes
yeas	yea
yeat	eat
yeaur	your
yees	yes
yer's	here's
yer-rings	ear-rings
yere	year
yerself	yourself
yerseln	yourself
yerselves	yourselves
yes'day	yesterday
yesday	yesterday
yest	yeast
yinder	yonder
yis	yes
yit	yet
yo	you
yo'	you
yo'd	you'd
yo'll	you'll
yo'r	your
yo're	you're
yo've	you've
yoke-fellow	yokefellow
yoketh	yokes
yon	yond
yong	young
you'ld	you'd
you'n	you've
you'r	you're
younder	yonder
young'st	youngest
your's	yours
yoursebls	yourselves
yourselin	yourself
yourseln	yourself
yoursen	yourself
youself	yourself
yoy're	you're
yslaked	slaked
yóur	your
zed	z
zermons	sermons
zest	zestest
zir	sir
zo	so
zwaggered	swaggered
g*d	god
G*d	God
d*mn	damn
D*mn	Damn
youv'e	you've
twas	'twas
hav	have
ov	of
y'r	you
mor'n	more-than
quicker'n	quicker-than
you'se	you're
youse	you
'Andley-Cross	Handley-Cross
'Ighness	Highness
'Olloway	Holloway
'Oward	Howard
'She	She
'Tention	Attention
'ack hack
'ackney hackney
'air-dresser hair-dresser
'alf half
'alf-a-crown half-a-crown
'alf-crown half-crown
'alf-hour half-hour
'alfcrown halfcrown
'alfpenny halfpenny
'alfpound halfpound
'and hand
'and-in-'and hand-in-hand
'andicap handicap
'andicapper handicapper
'andkerchief handkerchief
'andle handle
'ands hands
'appiness happiness
'ard hard
'ard-money hard-money
'ardly hardly
'ardship hardship
'armony harmony
'arness harness
'arpy harpy
'arshness harshness
'ay hay
'ay-and-corn hay-and-corn
'bacca-box tobacco-box
'bility ability
'bomination abomination
'cademy academy
'commodation acommodation
'complice acomplice
'conomy economy
'cos because
'ead head
'eard heard
'earers hearers
'eart-rendin heart-rending
'edge-row hedge-row
'eiress heiress
'elp help
'ermit	hermit
'esitation	hesitation
'hogany mahogany
'lection election
'lotment allotment
'mergency	emergency
'molument	emolument
'noculation innoculation
'nuity annuity
'oax	hoax
'obby hobby
'olesale wholesale
'oliday holiday
'ome home
'ome-stall home-stall
'omeliness homeliness
'onour honour
'ooman woman
'ope hope
'orror horror
'orse horse
'orseback horseback
'orses horses
'orsewhip horsewhip
'orspital hospital
'ospitality hospitality
'oss-back horse-back
'osses horses
'ossman horseman
'ossmanship horsemanship
'otel hotel
'ound hound
'ounds hounds
'ouse house
'ouse-work house-work
'ousehold household
'ousekeeper housekeeper
'ousekeeping housekeeping
'ousemaid housemaid
'ow how
'pediment impediment
'plomacy diplomacy
'pology apology
'poplexy apoplexy
'pothecary apothecary
'prenticeship apprenticeship
'quaintance aquaintance
'rection erection
'rethmetic arithmetic
'ristocrat aristocrat
'rithmetic arithmetic
'sociation association
'sparagus asparagus
'spectability respectability
'squire esquire
'sylum asylum
'tachment attachment
'tain't tain't
'umbug humbug
'umility humility
'unger hunger
'unt hunt
'unter hunter
'untin' hunting
'unting hunting
'unting-field hunting-field
'unting-wicket hunting-wicket
'untsman huntsman
'urt hurt
'usband husband
'vantage advantage
'vertisement advertisement
Anythin'	Anything
Athley'th	Athley'th
B'leeve	Believe
B'low-Bridge	B'low-Bridge
Ba'spiel	Ba'spiel
Balmaha'	Balmaha'
Ca'stalk	Ca'stalk
Ch'am-maid	Chambermaid
EM'LY	EMILY
Edinbroo'	Edinborough
Em'ly	Emily
Farrin'don	Farringdon
George's-st	George's-st
Giles-o'-lanthorn	Giles-o'-lanthorn
Glo'ster	Glo'ster
Haribee-broo'	Haribee-broo'
Hows'ever	Howsoever
Jeames's-square	James's-square
Joth'phine	Jothphine
La'ship	Ladyship
Leaden'all	Leaden'all
Lon'on	London
M‘Drone	M'Drone
Ma'amselle	Mademoiselle
Mas'r	Master
Mich'lmas	Michaelmas
Wal'r	Walter
Went'orth	Wentworth
Wor'ster	Worcester
a'thegither	altogether
awfu'	awful
bloomin'	blooming
cap'n	captain
doan't	don't
doen't	don't
dursn't	daren't
fearfu'	fearful
flow'rs	flowers
gen'lemen	gentlemen
gen'lm'n	gentleman
gi'e	give
ha'n't	haven't
hav'n't	haven't
havin'	having
i'stead	instead
mak'	make
mis'ess	mistress
shillin'	shilling
somethin'	something
standin'	standing
t'ou	thou
thro'	through
vouldn't	wouldn't
waitin'	waiting
yo'r	your
yoursel'	yourself
